student_id,minutes_watched,paid_in_q2
5707,117.4667,1
5716,4.5333,1
5720,2622.9500,1
5734,315.6333,1
5739,150.1833,1
5774,22.1000,1
5782,297.8500,1
5791,0.4167,1
5836,1259.5833,1
5884,65.0333,1
5939,17.7333,1
5955,111.0333,1
5971,53.9333,1
5974,1017.6333,1
5996,61.9333,1
6010,3968.3167,1
6011,164.3500,1
6027,24.1500,1
6030,385.3500,1
6034,0.0833,1
6043,163.5333,1
6070,157.6833,1
6096,388.9167,1
6110,559.1000,1
6125,1164.3833,1
6129,194.1000,1
6218,14.7333,1
6227,235.6167,1
6239,48.4833,1
6252,409.8167,1
6253,283.9500,1
6261,0.1833,1
6278,974.8667,1
6312,489.5333,1
6331,55.3500,1
6363,62.0000,1
6367,157.0667,1
6379,211.4167,1
6394,332.5667,1
6395,348.2167,1
6408,100.1167,1
6409,169.7333,1
6418,42.4500,1
6421,660.6333,1
6433,254.1833,1
6451,12.2000,1
6464,203.8833,1
6488,1468.6167,1
6503,8.2333,1
6505,80.8167,1
6530,604.6333,1
6542,128.6833,1
6559,160.4167,1
6560,20.3500,1
6569,4.3500,1
6580,26.7167,1
6589,443.7667,1
6599,33.6667,1
6616,1512.7667,1
6627,24.8500,1
6643,541.9833,1
6659,189.1333,1
6665,24.3500,1
6667,11.4333,1
6681,8.4500,1
6685,523.6333,1
6698,35.1333,1
6739,2509.4000,1
6743,23.9667,1
6745,86.8000,1
6757,71.0000,1
6773,18.0333,1
6791,261.1333,1
6814,27.4333,1
6817,13.5000,1
6819,603.8000,1
6824,307.5000,1
6836,33.5333,1
6867,9.0833,1
6869,39.7500,1
6871,14.2333,1
6884,1509.0667,1
6885,977.1167,1
6888,58.6500,1
6890,290.8167,1
6921,2346.4000,1
6924,268.0500,1
6932,205.2000,1
6939,0.4333,1
6940,35.9000,1
6944,15.4333,1
6950,102.8833,1
6958,384.8167,1
6965,75.8667,1
6976,2811.3333,1
6982,55.4500,1
6997,164.4833,1
7008,0.2167,1
7013,115.7667,1
7015,0.1667,1
7021,31.6000,1
7034,467.0333,1
7071,1382.2833,1
7076,3.0000,1
7081,30.4500,1
7086,1149.1333,1
7094,1.3000,1
7096,133.1667,1
7100,117.2500,1
7115,17.3333,1
7122,126.5000,1
7127,231.3000,1
7128,592.8833,1
7129,8.6167,1
7133,483.7000,1
7155,147.4833,1
7163,252.6167,1
7169,32.1000,1
7178,83.7833,1
